Name,Category,Colour Scheme,Font ,Gender in Photos,Gender in Photos Ratio (M:F),Language (M or F First),Overall Prediction,Notes,URL,Date
holanda,"F313 Ice Cream, Frozen Novelties & Sherbet",,,,0:02,,,,https://www.heladosholanda.com.mx/home.html,
lactaid,"F313 Ice Cream, Frozen Novelties & Sherbet",,,,1:01,,,,https://www.lactaid.com/,
hudsonville,"F313 Ice Cream, Frozen Novelties & Sherbet",,,,1:01,,,,https://www.hudsonvilleicecream.com/,
coolhaus,"F313 Ice Cream, Frozen Novelties & Sherbet",,,,0:02,,,,https://cool.haus/,
abbotts,"F313 Ice Cream, Frozen Novelties & Sherbet",,,,6:05,,,,https://www.abbottscustard.com/,
loacker,F343 Cookies & Crackers,,,,4:05,,,,https://www.loackerusa.com/en/,
biscoff,F343 Cookies & Crackers,,,,2:01,,,,https://www.lotusbiscoff.com/en-us,
crunchmaster,F343 Cookies & Crackers,,,,0:01,,,,https://crunchmaster.com/,
mcdonalds,F411 Coffee,,,,2:02,,,,https://www.mcdonalds.com/us/en-us.html,
nespresso,F411 Coffee,,,,2:01,,,,https://www.nespresso.com/us/,
nescafe,F411 Coffee,,,,2:00,,,,https://www.nescafe.com/,
tostitos,"F539 Chips, Nuts, Popcorn & Pretzels General Promotion",,,,3:03,,,,https://www.tostitos.com/,
shearers,"F539 Chips, Nuts, Popcorn & Pretzels General Promotion",,,,1:00,,,,https://www.shearers.com/,
pringles,"F539 Chips, Nuts, Popcorn & Pretzels General Promotion",,,,8:05,,,,https://www.popcorners.com/,
landshark,F611 Regular Beer & Ale,,,,2:01,,,,https://www.landsharklager.com/,
miller,F611 Regular Beer & Ale,,,,3:01,,,,https://www.millerlite.com/,
heineken,F611 Regular Beer & Ale,,,,2:02,,,,https://www.heineken.com/us,
steinlager,F611 Regular Beer & Ale,,,,3:00,,,,https://steinlager.com/,
carlsberg,F611 Regular Beer & Ale,,,,3:01,,,,https://www.carlsberg.com/en/,
amstel,F611 Regular Beer & Ale,,,,3:00,,,,https://www.amstel.com/,
rogue,F611 Regular Beer & Ale,,,,4:01,,,,https://www.rogue.com/,
tecate,F611 Regular Beer & Ale,,,,3:01,,,,https://tecatebeerusa.com/,
labatt,F611 Regular Beer & Ale,,,,2:02,,,,http://www.labatt.com/,
sol,F611 Regular Beer & Ale,,,,6:05,,,,https://www.sol.com/ca/en/homepage,
busch,F611 Regular Beer & Ale,,,,2:00,,,,https://www.busch.com/,
sapporo,F611 Regular Beer & Ale,,,,1:00,,,,https://sapporobeer.com/,
brooklyn,F611 Regular Beer & Ale,,,,5:00,,,,https://brooklynbrewery.com/,
altstadt,F611 Regular Beer & Ale,,,,3:03,,,,https://www.altstadtbeer.com/,
chang,F611 Regular Beer & Ale,,,,13:00,,,,https://www.changbeer.com/?lang=en,
sunup,F611 Regular Beer & Ale,,,,1:01,,,,https://sunup.beer/,
widmer,F611 Regular Beer & Ale,,,,5:02,,,,https://www.widmerbrothers.com/,
pabst,F611 Regular Beer & Ale,,,,1:03,,,,https://pabstblueribbon.com/,
hoboken,F611 Regular Beer & Ale,,,,1:01,,,,https://hobokenbrewing.beer/,
schells,F611 Regular Beer & Ale,,,,2:00,,,,https://www.schellsbrewery.com/,
bruz,F611 Regular Beer & Ale,,,,2:00,,,,https://www.bruzbeers.com/,
teledyne,G141 Cameras (Excl Video),,,,0:01,,,,http://www.teledyne.com/,
flir,G141 Cameras (Excl Video),,,,2:01,,,,https://www.flir.ca/,
ricoh,G141 Cameras (Excl Video),,,,5:02,,,,https://www.ricoh-usa.com/,
fujifilm,G141 Cameras (Excl Video),,,,1:00,,,,https://www.fujifilm.ca/index.html,
nikon,G141 Cameras (Excl Video),,,,2:07,,,,https://www.nikon.com/,
sealife,G141 Cameras (Excl Video),,,,3:02,,,,https://www.sealife-cameras.com/,
polaroid,G141 Cameras (Excl Video),,,,1:01,,,,https://us.polaroid.com/,
hovercam,G141 Cameras (Excl Video),,,,1:02,,,,https://www.hovercam.com/,
olympus,G141 Cameras (Excl Video),,,,4:03,,,,https://www.getolympus.com/,
perkins,G323 Casual Dining Restaurants,,,,1:01,,,,https://www.perkinsrestaurants.com/,
bonefish,G323 Casual Dining Restaurants,,,,1:01,,,,https://www.bonefishgrill.com/,
fuddruckers,G323 Casual Dining Restaurants,,,,1:01,,,,https://www.fuddruckers.com/#,
benihana,G323 Casual Dining Restaurants,,,,5:03,,,,https://www.benihana.com/,
salata,G323 Casual Dining Restaurants,,,,1:01,,,,https://www.salata.com/,
pappas,G323 Casual Dining Restaurants,,,,0:01,,,,https://www.pappas.com/home/,
tucanos,G323 Casual Dining Restaurants,,,,0:01,,,,https://www.tucanos.com/,
hakkasan,G323 Casual Dining Restaurants,,,,3:07,,,,https://hakkasan.com/,
dennys,G323 Casual Dining Restaurants,,,,6:06,,,,https://www.dennys.com/,
sizzler,G323 Casual Dining Restaurants,,,,2:04,,,,https://www.sizzler.com/,
hooters,G323 Casual Dining Restaurants,,,,0:04,,,,https://www.hooters.com/,
abuelos,G323 Casual Dining Restaurants,,,,2:01,,,,https://www.abuelos.com/,
landrys,G323 Casual Dining Restaurants,,,,1:00,,,,https://www.landrysinc.com/default.asp#/page/1,
stuckeys,G323 Casual Dining Restaurants,,,,4:00,,,,https://stuckeys.com/,
sharis,G323 Casual Dining Restaurants,,,,2:01,,,,https://www.sharis.com/,
biggby,G324 Coffee & Donut Restaurants,,,,0:02,,,,https://www.biggby.com/,
caribou,G324 Coffee & Donut Restaurants,,,,5:00,,,,https://www.cariboucoffee.com/,
johnson,G411 Fishing Tackle & Equipment,,,,1:00,,,,https://www.johnsonfishing.com/,
daiwa,G411 Fishing Tackle & Equipment,,,,2:00,,,,https://www.daiwa.com/us/,
mustad,G411 Fishing Tackle & Equipment,,,,6:01,,,,https://mustad-fishing.com/,
halco,G411 Fishing Tackle & Equipment,,,,5:01,,,,https://www.halcotackle.com/,
acme,G411 Fishing Tackle & Equipment,,,,7:01,,,,https://www.acmetackle.com/,
rio,G411 Fishing Tackle & Equipment,,,,2:01,,,,https://www.rioproducts.com/,
ardent,G411 Fishing Tackle & Equipment,,,,8:00,,,,https://ardentoutdoors.com/,
shakespeare,G411 Fishing Tackle & Equipment,,,,1:00,,,,https://www.shakespeare-fishing.com/,
cabelas,G411 Fishing Tackle & Equipment,,,,4:03,,,,https://www.cabelas.ca/,
northland,G411 Fishing Tackle & Equipment,,,,8:00,,,,https://www.northlandtackle.com/,
penn,G411 Fishing Tackle & Equipment,,,,3:00,,,,https://www.pennfishing.com/,
cortland,G411 Fishing Tackle & Equipment,,,,8:00,,,,https://www.cortlandline.com/,
mystic,G411 Fishing Tackle & Equipment,,,,1:01,,,,https://www.mysticoutdoors.com/,
gerber,G411 Fishing Tackle & Equipment,,,,4:00,,,,https://www.gerbergear.com/en-us,
berkley,G411 Fishing Tackle & Equipment,,,,2:00,,,,https://www.berkley-fishing.com/,
rainshadow,G411 Fishing Tackle & Equipment,,,,5:01,,,,https://www.rainshadowrodblanks.com/,
smith,"G451 Snow Skis, Boards, Blades & Accessories",,,,3:02,,,,https://www.smithoptics.com/us/,
burton,"G451 Snow Skis, Boards, Blades & Accessories",,,,4:05,,,,https://www.burton.com/us/en/home,
northwave,"G451 Snow Skis, Boards, Blades & Accessories",,,,1:00,,,,https://www.northwave.com/,
poc,"G451 Snow Skis, Boards, Blades & Accessories",,,,2:00,,,,https://www.pocsports.com/us/home/,
nordica,"G451 Snow Skis, Boards, Blades & Accessories",,,,2:02,,,,https://www.nordica.com/usa/,
glade,"G451 Snow Skis, Boards, Blades & Accessories",,,,0:02,,,,https://www.shopglade.com/,
coleman,G499 Sporting Goods General Promotion,,,,,,,,,
rawlings,G499 Sporting Goods General Promotion,,,,,,,,,
newell,G499 Sporting Goods General Promotion,,,,,,,,,
obrien,G499 Sporting Goods General Promotion,,,,,,,,,
carlisle,G499 Sporting Goods General Promotion,,,,,,,,,
wincraft,G499 Sporting Goods General Promotion,,,,,,,,,
niterider,G499 Sporting Goods General Promotion,,,,,,,,,
goalpost,G499 Sporting Goods General Promotion,,,,,,,,,
giro,G499 Sporting Goods General Promotion,,,,,,,,,
polaris,G499 Sporting Goods General Promotion,,,,,,,,,
macpac,G499 Sporting Goods General Promotion,,,,,,,,,
fenwick,G499 Sporting Goods General Promotion,,,,,,,,,
simmons,G499 Sporting Goods General Promotion,,,,,,,,,
marmot,G499 Sporting Goods General Promotion,,,,,,,,,
mammut,G499 Sporting Goods General Promotion,,,,,,,,,
moser,G499 Sporting Goods General Promotion,,,,,,,,,
rei,G499 Sporting Goods General Promotion,,,,,,,,,
duotone,G499 Sporting Goods General Promotion,,,,,,,,,
afp,G499 Sporting Goods General Promotion,,,,,,,,,
mbs,G499 Sporting Goods General Promotion,,,,,,,,,
sears,G499 Sporting Goods General Promotion,,,,,,,,,
manitou,G499 Sporting Goods General Promotion,,,,,,,,,
manduka,G499 Sporting Goods General Promotion,,,,,,,,,
bushnell,G499 Sporting Goods General Promotion,,,,,,,,,
telltale,G511 Elec & Video Games & Sftwr (Excl PC&Net),,,,,,,,,
kontrolfreek,G511 Elec & Video Games & Sftwr (Excl PC&Net),,,,,,,,,
fanatec,G511 Elec & Video Games & Sftwr (Excl PC&Net),,,,,,,,,
corsair,G511 Elec & Video Games & Sftwr (Excl PC&Net),,,,,,,,,
xbox,G511 Elec & Video Games & Sftwr (Excl PC&Net),,,,,,,,,
microsoft,G511 Elec & Video Games & Sftwr (Excl PC&Net),,,,,,,,,
thrustmaster,G511 Elec & Video Games & Sftwr (Excl PC&Net),,,,,,,,,
slingo,G511 Elec & Video Games & Sftwr (Excl PC&Net),,,,,,,,,
furby,G511 Elec & Video Games & Sftwr (Excl PC&Net),,,,,,,,,
ubisoft,G511 Elec & Video Games & Sftwr (Excl PC&Net),,,,,,,,,
nintendo,G511 Elec & Video Games & Sftwr (Excl PC&Net),,,,,,,,,
capcom,G511 Elec & Video Games & Sftwr (Excl PC&Net),,,,,,,,,
plushies,G541 Stuffed Toys,,,,,,,,,
abound,G613 Cat & Dog Food Combination,,,,,,,,,
freshpet,G613 Cat & Dog Food Combination,,,,,,,,,
canidae,G613 Cat & Dog Food Combination,,,,,,,,,
purina,G613 Cat & Dog Food Combination,,,,,,,,,
husse,G613 Cat & Dog Food Combination,,,,,,,,,
halo,G613 Cat & Dog Food Combination,,,,,,,,,
koha,G613 Cat & Dog Food Combination,,,,,,,,,
addiction,G613 Cat & Dog Food Combination,,,,,,,,,
wellness,G613 Cat & Dog Food Combination,,,,,,,,,
nutrish,G613 Cat & Dog Food Combination,,,,,,,,,
gibson,"H111 Dinnerware, Glassware & Pottery",,,,,,,,,
stuart,"H111 Dinnerware, Glassware & Pottery",,,,,,,,,
baccarat,"H111 Dinnerware, Glassware & Pottery",,,,,,,,,
valletta,"H111 Dinnerware, Glassware & Pottery",,,,,,,,,
bugatti,"H111 Dinnerware, Glassware & Pottery",,,,,,,,,
imusa,"H111 Dinnerware, Glassware & Pottery",,,,,,,,,
stanza,"H111 Dinnerware, Glassware & Pottery",,,,,,,,,
vietri,"H111 Dinnerware, Glassware & Pottery",,,,,,,,,
vandor,"H111 Dinnerware, Glassware & Pottery",,,,,,,,,
riedel,"H111 Dinnerware, Glassware & Pottery",,,,,,,,,
precisioncraft,"H111 Dinnerware, Glassware & Pottery",,,,,,,,,
sango,"H111 Dinnerware, Glassware & Pottery",,,,,,,,,
lenox,"H111 Dinnerware, Glassware & Pottery",,,,,,,,,
steuben,"H111 Dinnerware, Glassware & Pottery",,,,,,,,,
libbey,"H111 Dinnerware, Glassware & Pottery",,,,,,,,,
oneida,"H111 Dinnerware, Glassware & Pottery",,,,,,,,,
fiesta,"H111 Dinnerware, Glassware & Pottery",,,,,,,,,
conserve,"H111 Dinnerware, Glassware & Pottery",,,,,,,,,
noritake,"H111 Dinnerware, Glassware & Pottery",,,,,,,,,
oxo,"H111 Dinnerware, Glassware & Pottery",,,,,,,,,
pfaltzgraff,"H111 Dinnerware, Glassware & Pottery",,,,,,,,,
mottahedeh,"H111 Dinnerware, Glassware & Pottery",,,,,,,,,
portmeirion,"H111 Dinnerware, Glassware & Pottery",,,,,,,,,
nachtmann,"H111 Dinnerware, Glassware & Pottery",,,,,,,,,
herend,"H111 Dinnerware, Glassware & Pottery",,,,,,,,,
mikasa,"H111 Dinnerware, Glassware & Pottery",,,,,,,,,
nambe,"H111 Dinnerware, Glassware & Pottery",,,,,,,,,
gaia,"H111 Dinnerware, Glassware & Pottery",,,,,,,,,
artland,"H111 Dinnerware, Glassware & Pottery",,,,,,,,,
miyako,"H111 Dinnerware, Glassware & Pottery",,,,,,,,,
corelle,"H111 Dinnerware, Glassware & Pottery",,,,,,,,,
bestar,H122 Mattresses & Box Springs,,,,,,,,,
tulo,H122 Mattresses & Box Springs,,,,,,,,,
dreamland,H122 Mattresses & Box Springs,,,,,,,,,
revived,H122 Mattresses & Box Springs,,,,,,,,,
casper,H122 Mattresses & Box Springs,,,,,,,,,
lectus,H122 Mattresses & Box Springs,,,,,,,,,
eight,H122 Mattresses & Box Springs,,,,,,,,,
englander,H122 Mattresses & Box Springs,,,,,,,,,
marpac,H122 Mattresses & Box Springs,,,,,,,,,
agility,H122 Mattresses & Box Springs,,,,,,,,,
america,H122 Mattresses & Box Springs,,,,,,,,,
verlo,H122 Mattresses & Box Springs,,,,,,,,,
tanda,H122 Mattresses & Box Springs,,,,,,,,,
lull,H122 Mattresses & Box Springs,,,,,,,,,
sealy,H122 Mattresses & Box Springs,,,,,,,,,
enso,H122 Mattresses & Box Springs,,,,,,,,,
kingsdown,H122 Mattresses & Box Springs,,,,,,,,,
talley,H122 Mattresses & Box Springs,,,,,,,,,
duxiana,H122 Mattresses & Box Springs,,,,,,,,,
reverie,H122 Mattresses & Box Springs,,,,,,,,,
luft,H122 Mattresses & Box Springs,,,,,,,,,
voila,H122 Mattresses & Box Springs,,,,,,,,,
aireloom,H122 Mattresses & Box Springs,,,,,,,,,
bassett,H122 Mattresses & Box Springs,,,,,,,,,
hastens,H122 Mattresses & Box Springs,,,,,,,,,
nectar,H122 Mattresses & Box Springs,,,,,,,,,
serta,H122 Mattresses & Box Springs,,,,,,,,,
eclipse,H122 Mattresses & Box Springs,,,,,,,,,
essentia,H122 Mattresses & Box Springs,,,,,,,,,
lucid,H122 Mattresses & Box Springs,,,,,,,,,
ortho,H122 Mattresses & Box Springs,,,,,,,,,
restonic,H122 Mattresses & Box Springs,,,,,,,,,
beautyrest,H122 Mattresses & Box Springs,,,,,,,,,
hyphen,H122 Mattresses & Box Springs,,,,,,,,,
luxi,H122 Mattresses & Box Springs,,,,,,,,,
magniflex,H122 Mattresses & Box Springs,,,,,,,,,
leesa,H122 Mattresses & Box Springs,,,,,,,,,
liddell,H142 Bedding & Linens,,,,,,,,,
vianney,H142 Bedding & Linens,,,,,,,,,
malouf,H142 Bedding & Linens,,,,,,,,,
sferra,H142 Bedding & Linens,,,,,,,,,
bergers,H142 Bedding & Linens,,,,,,,,,
igloo,H142 Bedding & Linens,,,,,,,,,
surya,H142 Bedding & Linens,,,,,,,,,
surefit,H142 Bedding & Linens,,,,,,,,,
aquis,H142 Bedding & Linens,,,,,,,,,
pinzon,H142 Bedding & Linens,,,,,,,,,
springs,H142 Bedding & Linens,,,,,,,,,
panacea,H142 Bedding & Linens,,,,,,,,,
cleanbrands,H142 Bedding & Linens,,,,,,,,,
talalay,H142 Bedding & Linens,,,,,,,,,
northwest,H142 Bedding & Linens,,,,,,,,,
jomar,H142 Bedding & Linens,,,,,,,,,
bassetti,H142 Bedding & Linens,,,,,,,,,
splashpad,H142 Bedding & Linens,,,,,,,,,
welspun,H142 Bedding & Linens,,,,,,,,,
encapsys,H142 Bedding & Linens,,,,,,,,,
parachute,H142 Bedding & Linens,,,,,,,,,
coolmax,H142 Bedding & Linens,,,,,,,,,
avanti,H142 Bedding & Linens,,,,,,,,,
downtown,H142 Bedding & Linens,,,,,,,,,
acteon,H142 Bedding & Linens,,,,,,,,,
croscill,H142 Bedding & Linens,,,,,,,,,
revman,H142 Bedding & Linens,,,,,,,,,
tablecloth,H142 Bedding & Linens,,,,,,,,,
coyuchi,H142 Bedding & Linens,,,,,,,,,
cuddledown,H142 Bedding & Linens,,,,,,,,,
boppy,H142 Bedding & Linens,,,,,,,,,
christy,H142 Bedding & Linens,,,,,,,,,
posh,H142 Bedding & Linens,,,,,,,,,
buffy,H142 Bedding & Linens,,,,,,,,,
steele,H213 Laundry Equipment,,,,,,,,,
lg,H213 Laundry Equipment,,,,,,,,,
samsung,H213 Laundry Equipment,,,,,,,,,
ge,H213 Laundry Equipment,,,,,,,,,
huebsch,H213 Laundry Equipment,,,,,,,,,
maytag,H213 Laundry Equipment,,,,,,,,,
kenmore,H213 Laundry Equipment,,,,,,,,,
whirlpool,H213 Laundry Equipment,,,,,,,,,
unimac,H213 Laundry Equipment,,,,,,,,,
milnor,H213 Laundry Equipment,,,,,,,,,
electrolux,H213 Laundry Equipment,,,,,,,,,
ryobi,H310 Household Batteries,,,,,,,,,
acdelco,H310 Household Batteries,,,,,,,,,
rayovac,H310 Household Batteries,,,,,,,,,
duracell,H310 Household Batteries,,,,,,,,,
saft,H310 Household Batteries,,,,,,,,,
energizer,H310 Household Batteries,,,,,,,,,
tenergy,H310 Household Batteries,,,,,,,,,
interstate,H310 Household Batteries,,,,,,,,,
apc,H310 Household Batteries,,,,,,,,,
reynolds,H339 Household Paper Products: Comb & NEC,,,,,,,,,
hefty,H339 Household Paper Products: Comb & NEC,,,,,,,,,
sunrise,H339 Household Paper Products: Comb & NEC,,,,,,,,,
brawny,H339 Household Paper Products: Comb & NEC,,,,,,,,,
bounty,H339 Household Paper Products: Comb & NEC,,,,,,,,,
cascades,H339 Household Paper Products: Comb & NEC,,,,,,,,,
plainwell,H339 Household Paper Products: Comb & NEC,,,,,,,,,
fiora,H339 Household Paper Products: Comb & NEC,,,,,,,,,
chinet,H339 Household Paper Products: Comb & NEC,,,,,,,,,
kleenex,H339 Household Paper Products: Comb & NEC,,,,,,,,,
axion,H413 Dishwashing Detergents,,,,,,,,,
salvo,H413 Dishwashing Detergents,,,,,,,,,
palmolive,H413 Dishwashing Detergents,,,,,,,,,
pinol,H432 Multipurpose Cleaners (Cleansers),,,,,,,,,
fabuloso,H432 Multipurpose Cleaners (Cleansers),,,,,,,,,
clr,H432 Multipurpose Cleaners (Cleansers),,,,,,,,,
sos,H432 Multipurpose Cleaners (Cleansers),,,,,,,,,
liftmaster,H625 Security & Fire Safety Systems,,,,,,,,,
cobra,H625 Security & Fire Safety Systems,,,,,,,,,
bosch,H625 Security & Fire Safety Systems,,,,,,,,,
garrett,H625 Security & Fire Safety Systems,,,,,,,,,
emed,H625 Security & Fire Safety Systems,,,,,,,,,
toc,H625 Security & Fire Safety Systems,,,,,,,,,
rauckman,H625 Security & Fire Safety Systems,,,,,,,,,
hid,H625 Security & Fire Safety Systems,,,,,,,,,
pilz,H625 Security & Fire Safety Systems,,,,,,,,,
paragon,H625 Security & Fire Safety Systems,,,,,,,,,
taser,H625 Security & Fire Safety Systems,,,,,,,,,
edwards,H625 Security & Fire Safety Systems,,,,,,,,,
mcdermott,H625 Security & Fire Safety Systems,,,,,,,,,
bullard,H625 Security & Fire Safety Systems,,,,,,,,,
rutherford,H625 Security & Fire Safety Systems,,,,,,,,,
globe,H625 Security & Fire Safety Systems,,,,,,,,,
salto,H625 Security & Fire Safety Systems,,,,,,,,,
philips,H625 Security & Fire Safety Systems,,,,,,,,,
swann,H625 Security & Fire Safety Systems,,,,,,,,,
sectra,H625 Security & Fire Safety Systems,,,,,,,,,
consilium,H625 Security & Fire Safety Systems,,,,,,,,,
senstar,H625 Security & Fire Safety Systems,,,,,,,,,
impacto,H625 Security & Fire Safety Systems,,,,,,,,,
onity,H625 Security & Fire Safety Systems,,,,,,,,,
vicon,H625 Security & Fire Safety Systems,,,,,,,,,
northstar,H625 Security & Fire Safety Systems,,,,,,,,,
fireking,H625 Security & Fire Safety Systems,,,,,,,,,
secugen,H625 Security & Fire Safety Systems,,,,,,,,,
honeywell,H625 Security & Fire Safety Systems,,,,,,,,,
canary,H625 Security & Fire Safety Systems,,,,,,,,,
airgas,H625 Security & Fire Safety Systems,,,,,,,,,
sensormatic,H625 Security & Fire Safety Systems,,,,,,,,,
interlogix,H625 Security & Fire Safety Systems,,,,,,,,,
triconex,H625 Security & Fire Safety Systems,,,,,,,,,
telguard,H625 Security & Fire Safety Systems,,,,,,,,,
adt,H625 Security & Fire Safety Systems,,,,,,,,,
panduit,H625 Security & Fire Safety Systems,,,,,,,,,
simplexgrinnell,H625 Security & Fire Safety Systems,,,,,,,,,
msa,H625 Security & Fire Safety Systems,,,,,,,,,
rockwool,H625 Security & Fire Safety Systems,,,,,,,,,
hanwha,H625 Security & Fire Safety Systems,,,,,,,,,
sdc,H625 Security & Fire Safety Systems,,,,,,,,,
kidde,H625 Security & Fire Safety Systems,,,,,,,,,
tncs,H625 Security & Fire Safety Systems,,,,,,,,,
vivint,H625 Security & Fire Safety Systems,,,,,,,,,
telaid,H625 Security & Fire Safety Systems,,,,,,,,,
rki,H625 Security & Fire Safety Systems,,,,,,,,,
schlage,H625 Security & Fire Safety Systems,,,,,,,,,
pmi,H625 Security & Fire Safety Systems,,,,,,,,,
simplisafe,H625 Security & Fire Safety Systems,,,,,,,,,
keyper,H625 Security & Fire Safety Systems,,,,,,,,,
omnia,H625 Security & Fire Safety Systems,,,,,,,,,
rapiscan,H625 Security & Fire Safety Systems,,,,,,,,,
lifeshield,H625 Security & Fire Safety Systems,,,,,,,,,
trinity,H625 Security & Fire Safety Systems,,,,,,,,,
aperio,H625 Security & Fire Safety Systems,,,,,,,,,
california,H625 Security & Fire Safety Systems,,,,,,,,,
lutron,H625 Security & Fire Safety Systems,,,,,,,,,
firefly,H625 Security & Fire Safety Systems,,,,,,,,,
dahua,H625 Security & Fire Safety Systems,,,,,,,,,
qmi,H625 Security & Fire Safety Systems,,,,,,,,,
arlo,H625 Security & Fire Safety Systems,,,,,,,,,
kwikset,H625 Security & Fire Safety Systems,,,,,,,,,
ansul,H625 Security & Fire Safety Systems,,,,,,,,,
bilco,H625 Security & Fire Safety Systems,,,,,,,,,
hive,H625 Security & Fire Safety Systems,,,,,,,,,
detex,H625 Security & Fire Safety Systems,,,,,,,,,
drager,H625 Security & Fire Safety Systems,,,,,,,,,
ripple,H625 Security & Fire Safety Systems,,,,,,,,,
alula,H625 Security & Fire Safety Systems,,,,,,,,,
bullex,H625 Security & Fire Safety Systems,,,,,,,,,
pdt,H625 Security & Fire Safety Systems,,,,,,,,,
holmatro,H625 Security & Fire Safety Systems,,,,,,,,,
rexing,H625 Security & Fire Safety Systems,,,,,,,,,
dsx,H625 Security & Fire Safety Systems,,,,,,,,,
angee,H625 Security & Fire Safety Systems,,,,,,,,,
daymark,H625 Security & Fire Safety Systems,,,,,,,,,
whistler,H625 Security & Fire Safety Systems,,,,,,,,,
iris,H625 Security & Fire Safety Systems,,,,,,,,,
comex,H631 Paint,,,,,,,,,
lanco,H631 Paint,,,,,,,,,
dap,H631 Paint,,,,,,,,,
berel,H631 Paint,,,,,,,,,
osel,H631 Paint,,,,,,,,,
valspar,H631 Paint,,,,,,,,,
ideapaint,H631 Paint,,,,,,,,,
behr,H631 Paint,,,,,,,,,
glidden,H631 Paint,,,,,,,,,
jayco,"T139 Vehicles, Sales & Leasing: Comb Copy&NEC",,,,,,,,,
featherlite,"T139 Vehicles, Sales & Leasing: Comb Copy&NEC",,,,,,,,,
dutchmen,"T139 Vehicles, Sales & Leasing: Comb Copy&NEC",,,,,,,,,
norris,"T139 Vehicles, Sales & Leasing: Comb Copy&NEC",,,,,,,,,
novatech,"T139 Vehicles, Sales & Leasing: Comb Copy&NEC",,,,,,,,,
airstream,"T139 Vehicles, Sales & Leasing: Comb Copy&NEC",,,,,,,,,
cm,"T139 Vehicles, Sales & Leasing: Comb Copy&NEC",,,,,,,,,
manac,"T139 Vehicles, Sales & Leasing: Comb Copy&NEC",,,,,,,,,
maurer,"T139 Vehicles, Sales & Leasing: Comb Copy&NEC",,,,,,,,,
tiffin,"T139 Vehicles, Sales & Leasing: Comb Copy&NEC",,,,,,,,,
winnebago,"T139 Vehicles, Sales & Leasing: Comb Copy&NEC",,,,,,,,,
newmar,"T139 Vehicles, Sales & Leasing: Comb Copy&NEC",,,,,,,,,
stoughton,"T139 Vehicles, Sales & Leasing: Comb Copy&NEC",,,,,,,,,
hillsboro,"T139 Vehicles, Sales & Leasing: Comb Copy&NEC",,,,,,,,,
fahrenheit,T141 Automotive Batteries,,,,,,,,,
duralast,T141 Automotive Batteries,,,,,,,,,
optima,T141 Automotive Batteries,,,,,,,,,
blount,T412 Cruise Ship Travel,,,,,,,,,
merengue,T412 Cruise Ship Travel,,,,,,,,,
flagship,T412 Cruise Ship Travel,,,,,,,,,
atlantis,T412 Cruise Ship Travel,,,,,,,,,
oceanic,T412 Cruise Ship Travel,,,,,,,,,
silversea,T412 Cruise Ship Travel,,,,,,,,,
argosy,T412 Cruise Ship Travel,,,,,,,,,
caribbean,T412 Cruise Ship Travel,,,,,,,,,
tauck,T412 Cruise Ship Travel,,,,,,,,,
riverview,T412 Cruise Ship Travel,,,,,,,,,
windstar,T412 Cruise Ship Travel,,,,,,,,,
oceania,T412 Cruise Ship Travel,,,,,,,,,
searcher,T412 Cruise Ship Travel,,,,,,,,,
seabourn,T412 Cruise Ship Travel,,,,,,,,,
aida,T412 Cruise Ship Travel,,,,,,,,,
cunard,T412 Cruise Ship Travel,,,,,,,,,
aquafest,T412 Cruise Ship Travel,,,,,,,,,
electra,T412 Cruise Ship Travel,,,,,,,,,
twilight,T412 Cruise Ship Travel,,,,,,,,,
vistajet,T421 Travel Services,,,,,,,,,
alitalia,T421 Travel Services,,,,,,,,,
umbria,T421 Travel Services,,,,,,,,,
espresso,T421 Travel Services,,,,,,,,,
travelworld,T421 Travel Services,,,,,,,,,
disneyland,"T440 Amusement, Water & Theme Parks",,,,,,,,,
legoland,"T440 Amusement, Water & Theme Parks",,,,,,,,,
priv,V131 Beauty Shops,,,,,,,,,
spa,V131 Beauty Shops,,,,,,,,,
microgame,V363 Toy Stores,,,,,,,,,
gamestop,V363 Toy Stores,,,,,,,,,
mauisails,V365 Sporting Goods Stores,,,,,,,,,
bikeradar,V365 Sporting Goods Stores,,,,,,,,,
syracuse,V365 Sporting Goods Stores,,,,,,,,,
ruger,V365 Sporting Goods Stores,,,,,,,,,
mahoneys,V365 Sporting Goods Stores,,,,,,,,,
