,,0
sunglasses,sneakers,0.4960634708404541
sunglasses,women shoes boots,0.4554704427719116
sunglasses,handbags,0.3880791962146759
women shaving supplies,mens shaving equipment supplies,0.8259486556053162
women shaving supplies,deodorants antiperspirants,0.44404345750808716
women shaving supplies,skin care products,0.4321158826351166
religious charitable humanitarian,sporting goods,0.30984556674957275
religious charitable humanitarian,women shaving supplies,0.3026653230190277
religious charitable humanitarian,employment agencies,0.2758086919784546
employment agencies,insurance agencies brokers,0.5945465564727783
employment agencies,investment products services,0.42510491609573364
employment agencies,internet service providers,0.41307681798934937
face makeup,paint,0.3706792891025543
face makeup,skin care products,0.33448171615600586
face makeup,sunglasses,0.3047116994857788
artificial sweeteners,cocoa milk additives,0.46662095189094543
artificial sweeteners,ice cream frozen novelties sherbet,0.42998450994491577
artificial sweeteners,nutritional supplements,0.39520877599716187
cooking oils,pasta pasta dishes,0.5560352206230164
cooking oils,dishwashing detergents,0.49094852805137634
cooking oils,cocoa milk additives,0.46999943256378174
credit cards,loan credit products services,0.6183924078941345
credit cards,stationery greeting cards miscellaneous paper goods,0.5067992210388184
credit cards,household paper products,0.3024556040763855
electronic video games software,desktop computers,0.5405125617980957
electronic video games software,cable television providers systems,0.48315349221229553
electronic video games software,web design domain hosting services,0.46009284257888794
sporting goods stores,sporting goods,0.8429118990898132
sporting goods stores,toy stores,0.6537421941757202
sporting goods stores,beauty shops,0.5238909125328064
casual dining restaurants,coffee donut restaurants,0.6218016147613525
casual dining restaurants,pasta pasta dishes,0.43586719036102295
casual dining restaurants,sporting goods stores,0.37389081716537476
tv networks stations production companies,cable television providers systems,0.7338228225708008
tv networks stations production companies,internet service providers,0.5109266638755798
tv networks stations production companies,investment products services,0.43341004848480225
bedding linens,office furniture accessories,0.5614298582077026
bedding linens,dinnerware glassware pottery,0.5475435853004456
bedding linens,laundry equipment,0.5190442204475403
toy stores,sporting goods stores,0.6537421941757202
toy stores,stuffed toys,0.5690850019454956
toy stores,office furniture accessories,0.4975292384624481
cat dog food,coffee donut restaurants,0.4133228659629822
cat dog food,stuffed toys,0.38186919689178467
cat dog food,chips nuts popcorn pretzels,0.36310333013534546
women scents fragrances perfumes,unisex scents fragrances perfumes,0.962233304977417
women scents fragrances perfumes,men scents fragrances aftershaves,0.9588801860809326
women scents fragrances perfumes,fragrances,0.9147570133209229
cereals,cocoa milk additives,0.6262973546981812
cereals,nutritional supplements,0.46841704845428467
cereals,cookies crackers,0.4260975122451782
pasta pasta dishes,cooking oils,0.5560351610183716
pasta pasta dishes,peanut butter sandwich spreads,0.5138900279998779
pasta pasta dishes,coffee donut restaurants,0.502413272857666
mens shaving equipment supplies,women shaving supplies,0.8259486556053162
mens shaving equipment supplies,laundry equipment,0.6148761510848999
mens shaving equipment supplies,office furniture accessories,0.4821975827217102
web design domain hosting services,internet service providers,0.6262925863265991
web design domain hosting services,advertising marketing printing services,0.5202755928039551
web design domain hosting services,investment products services,0.5190312266349792
women shoes boots,sneakers,0.6736860871315002
women shoes boots,sportswear athleticwear,0.5019819736480713
women shoes boots,handbags,0.49315309524536133
beer ale,coffee donut restaurants,0.4918639361858368
beer ale,coffee,0.4792644679546356
beer ale,ice cream frozen novelties sherbet,0.3456677198410034
travel services,investment products services,0.5582899451255798
travel services,cruise ship travel,0.5565220713615417
travel services,internet service providers,0.5248590707778931
fragrances,unisex scents fragrances perfumes,0.9148333668708801
fragrances,women scents fragrances perfumes,0.9147570133209229
fragrances,men scents fragrances aftershaves,0.8855108022689819
sportswear athleticwear,handbags,0.5425585508346558
sportswear athleticwear,women shoes boots,0.5019819736480713
sportswear athleticwear,unisex scents fragrances perfumes,0.4869358539581299
dinnerware glassware pottery,bedding linens,0.5475435853004456
dinnerware glassware pottery,office furniture accessories,0.5061500668525696
dinnerware glassware pottery,pasta pasta dishes,0.4389455318450928
internet service providers,cable television providers systems,0.7003296613693237
internet service providers,web design domain hosting services,0.6262925863265991
internet service providers,investment products services,0.544029951095581
dishwashing detergents,toothpaste whiteners,0.5792568325996399
dishwashing detergents,deodorants antiperspirants,0.5446919202804565
dishwashing detergents,cooking oils,0.49094852805137634
paint,face makeup,0.3706792891025543
paint,toothpaste whiteners,0.3432506322860718
paint,dinnerware glassware pottery,0.31088095903396606
pain remedies,cold cough sinus asthma remedies,0.667452335357666
pain remedies,skin care products,0.36185306310653687
pain remedies,nutritional supplements,0.29948416352272034
insurance agencies brokers,employment agencies,0.5945465564727783
insurance agencies brokers,internet service providers,0.45091208815574646
insurance agencies brokers,loan credit products services,0.43349820375442505
handbags,sportswear athleticwear,0.5425585508346558
handbags,unisex scents fragrances perfumes,0.52569180727005
handbags,women scents fragrances perfumes,0.5028618574142456
coffee,coffee donut restaurants,0.7780917882919312
coffee,beer ale,0.4792644679546356
coffee,cocoa milk additives,0.4728541374206543
cookies crackers,chips nuts popcorn pretzels,0.6505417823791504
cookies crackers,candy mints,0.5640113353729248
cookies crackers,ice cream frozen novelties sherbet,0.5019422173500061
coffee donut restaurants,coffee,0.7780917882919312
coffee donut restaurants,casual dining restaurants,0.6218016147613525
coffee donut restaurants,peanut butter sandwich spreads,0.5364037752151489
sporting goods,sporting goods stores,0.842911958694458
sporting goods,stationery greeting cards miscellaneous paper goods,0.5166752338409424
sporting goods,sportswear athleticwear,0.4498016834259033
cable television providers systems,tv networks stations production companies,0.7338228225708008
cable television providers systems,internet service providers,0.7003296613693237
cable television providers systems,electronic video games software,0.48315343260765076
men scents fragrances aftershaves,women scents fragrances perfumes,0.9588801860809326
men scents fragrances aftershaves,unisex scents fragrances perfumes,0.9345988631248474
men scents fragrances aftershaves,fragrances,0.8855108022689819
printers printing accessories,advertising marketing printing services,0.5846996307373047
printers printing accessories,office furniture accessories,0.5752876400947571
printers printing accessories,stationery greeting cards miscellaneous paper goods,0.521533727645874
investment products services,loan credit products services,0.7047564387321472
investment products services,advertising marketing printing services,0.5641041994094849
investment products services,skin care products,0.5622259378433228
amusement water theme parks,beauty shops,0.35906660556793213
amusement water theme parks,casual dining restaurants,0.32989001274108887
amusement water theme parks,cat dog food,0.3037310242652893
cameras,sunglasses,0.3592122793197632
cameras,electronic video games software,0.34701550006866455
cameras,cable television providers systems,0.2871575355529785
automotive batteries,household batteries,0.6920007467269897
automotive batteries,vehicles sales leasing,0.41423165798187256
automotive batteries,office furniture accessories,0.38008326292037964
household batteries,automotive batteries,0.6920007467269897
household batteries,household paper products,0.6159043312072754
household batteries,dishwashing detergents,0.3917016088962555
vehicles sales leasing,investment products services,0.48517799377441406
vehicles sales leasing,loan credit products services,0.4312049150466919
vehicles sales leasing,advertising marketing printing services,0.41485869884490967
stuffed toys,toy stores,0.5690850019454956
stuffed toys,stationery greeting cards miscellaneous paper goods,0.42940038442611694
stuffed toys,candy mints,0.4258989691734314
loan credit products services,investment products services,0.7047564387321472
loan credit products services,credit cards,0.6183924078941345
loan credit products services,skin care products,0.49165621399879456
peanut butter sandwich spreads,chips nuts popcorn pretzels,0.6008050441741943
peanut butter sandwich spreads,coffee donut restaurants,0.5364037752151489
peanut butter sandwich spreads,ice cream frozen novelties sherbet,0.5299062132835388
unisex scents fragrances perfumes,women scents fragrances perfumes,0.962233304977417
unisex scents fragrances perfumes,men scents fragrances aftershaves,0.9345988631248474
unisex scents fragrances perfumes,fragrances,0.9148333668708801
chips nuts popcorn pretzels,cookies crackers,0.6505417823791504
chips nuts popcorn pretzels,peanut butter sandwich spreads,0.6008050441741943
chips nuts popcorn pretzels,candy mints,0.5908633470535278
multipurpose cleaners,dishwashing detergents,0.4654902219772339
multipurpose cleaners,laundry equipment,0.4426400065422058
multipurpose cleaners,printers printing accessories,0.34004873037338257
cocoa milk additives,cereals,0.6262973546981812
cocoa milk additives,nutritional supplements,0.49249768257141113
cocoa milk additives,toothpaste whiteners,0.4764620363712311
security fire safety systems,cable television providers systems,0.3680376410484314
security fire safety systems,investment products services,0.3603598177433014
security fire safety systems,web design domain hosting services,0.34912607073783875
advertising marketing printing services,printers printing accessories,0.5846996307373047
advertising marketing printing services,investment products services,0.5641041994094849
advertising marketing printing services,web design domain hosting services,0.5202755928039551
cruise ship travel,travel services,0.5565220713615417
cruise ship travel,vehicles sales leasing,0.2707211971282959
cruise ship travel,fishing tackle equipment,0.2700958251953125
office furniture accessories,printers printing accessories,0.5752876400947571
office furniture accessories,bedding linens,0.5614298582077026
office furniture accessories,dinnerware glassware pottery,0.5061500668525696
candy mints,chips nuts popcorn pretzels,0.5908633470535278
candy mints,cookies crackers,0.5640113353729248
candy mints,coffee donut restaurants,0.5061759352684021
snow skis boards blades accessories,mens shaving equipment supplies,0.4607968330383301
snow skis boards blades accessories,women shoes boots,0.4491790533065796
snow skis boards blades accessories,office furniture accessories,0.44370317459106445
stationery greeting cards miscellaneous paper goods,household paper products,0.5809154510498047
stationery greeting cards miscellaneous paper goods,printers printing accessories,0.521533727645874
stationery greeting cards miscellaneous paper goods,sporting goods,0.5166752338409424
mattresses box springs,bedding linens,0.5066471099853516
mattresses box springs,office furniture accessories,0.39571326971054077
mattresses box springs,stuffed toys,0.362903356552124
desktop computers,electronic video games software,0.5405125021934509
desktop computers,printers printing accessories,0.4448460042476654
desktop computers,web design domain hosting services,0.4285895824432373
cold cough sinus asthma remedies,pain remedies,0.667452335357666
cold cough sinus asthma remedies,skin care products,0.3763103187084198
cold cough sinus asthma remedies,toothpaste whiteners,0.3407727777957916
household paper products,household batteries,0.6159043312072754
household paper products,stationery greeting cards miscellaneous paper goods,0.5809154510498047
household paper products,investment products services,0.5475715398788452
nutritional supplements,cocoa milk additives,0.49249768257141113
nutritional supplements,cereals,0.46841704845428467
nutritional supplements,skin care products,0.46021848917007446
deodorants antiperspirants,toothpaste whiteners,0.6476099491119385
deodorants antiperspirants,men scents fragrances aftershaves,0.5450804233551025
deodorants antiperspirants,dishwashing detergents,0.5446919202804565
beauty shops,sporting goods stores,0.5238909125328064
beauty shops,toy stores,0.47483351826667786
beauty shops,unisex scents fragrances perfumes,0.46519678831100464
ice cream frozen novelties sherbet,peanut butter sandwich spreads,0.5299062132835388
ice cream frozen novelties sherbet,chips nuts popcorn pretzels,0.5136877298355103
ice cream frozen novelties sherbet,cookies crackers,0.5019422173500061
laundry equipment,mens shaving equipment supplies,0.6148761510848999
laundry equipment,bedding linens,0.5190442204475403
laundry equipment,fishing tackle equipment,0.5021445155143738
skin care products,investment products services,0.5622259378433228
skin care products,toothpaste whiteners,0.5277585983276367
skin care products,household paper products,0.5234438180923462
toothpaste whiteners,deodorants antiperspirants,0.6476099491119385
toothpaste whiteners,dishwashing detergents,0.5792568325996399
toothpaste whiteners,skin care products,0.5277585983276367
fishing tackle equipment,laundry equipment,0.5021445155143738
fishing tackle equipment,mens shaving equipment supplies,0.43608251214027405
fishing tackle equipment,snow skis boards blades accessories,0.3844776749610901
sneakers,women shoes boots,0.6736860275268555
sneakers,sunglasses,0.4960634708404541
sneakers,sportswear athleticwear,0.4592498242855072
