,Name,Category,Colour Scheme,Font ,Gender in Photos,Gender in Photos Ratio (M:F),Language (M or F First),Overall Prediction,Notes,URL,Date
197,mhp,D543 Nutritional Supplements,,,,1:00,,,,https://mhpstrong.com/,
200,limitless,D543 Nutritional Supplements,,,,2:00,,,,https://limitlessnutritioninc.com/,
202,pritikin,D543 Nutritional Supplements,,,,6:08,,,,https://www.pritikin.com/,
203,staunch,D543 Nutritional Supplements,,,,1:00,,,,https://staunchnation.com/,
204,gnc,D543 Nutritional Supplements,,,,3:02,,,,https://www.gnc.com/,
205,soylent,D543 Nutritional Supplements,,,,2:01,,,,https://soylent.com/,
207,musclepharm,D543 Nutritional Supplements,,,,4:02,,,,https://musclepharm.com/,
208,hylands,D543 Nutritional Supplements,,,,2:03,,,,https://www.hylands.com/,
209,align,D543 Nutritional Supplements,,,,3:03,,,,https://www.alignprobiotics.com/en-us,
210,amway,D543 Nutritional Supplements,,,,0:02,,,,https://www.amway.com/,
211,juven,D543 Nutritional Supplements,,,,2:03,,,,https://juven.com/,
212,muscletech,D543 Nutritional Supplements,,,,1:01,,,,https://www.muscletech.ca/,
216,mri,D543 Nutritional Supplements,,,,6:00,,,,https://mri-performance.com/,
219,iwi,D543 Nutritional Supplements,,,,1:03,,,,https://iwilife.com/,
220,usana,D543 Nutritional Supplements,,,,0:02,,,,https://www.usana.com/ux/dotcom/#!/enu-US/home,
221,ignite,D543 Nutritional Supplements,,,,7:03,,,,https://ignitenutrition.com/,
222,reaal,D543 Nutritional Supplements,,,,3:02,,,,https://reaal.tlcchealth.com/,
223,flyte,D543 Nutritional Supplements,,,,7:07,,,,https://flytesport.com/,
224,immunocal,D543 Nutritional Supplements,,,,4:04,,,,https://www.immunotec.com/,
225,berocca,D543 Nutritional Supplements,,,,5:02,,,,https://www.buyberocca.com/en/home/,
229,esi,D543 Nutritional Supplements,,,,0:03,,,,https://www.esi-nutrition.com/en/,
231,hims,D543 Nutritional Supplements,,,,6:00,,,,https://www.forhims.com/,
232,enu,D543 Nutritional Supplements,,,,7:06,,,,https://www.enu-nutrition.com/,
235,isagenix,D543 Nutritional Supplements,,,,2:03,,,,https://www.isagenix.com/en-us/,
237,culturelle,D543 Nutritional Supplements,,,,6:07,,,,https://www.culturelle.com/,
239,splenda,F113 Artificial Sweeteners,,,,3:03,,,,https://www.splenda.com/,
240,nutella,F280 Peanut Butter & Sandwich Spreads,,,,1:01,,,,https://www.nutella.com/us/en/,
241,smuckers,F280 Peanut Butter & Sandwich Spreads,,,,1:00,,,,https://www.smuckers.com/,
242,maranatha,F280 Peanut Butter & Sandwich Spreads,,,,1:01,,,,http://www.maranathafoods.com/,
243,deans,"F313 Ice Cream, Frozen Novelties & Sherbet",,,,2:01,,,,http://www.deanfoods.com/,
244,kemps,"F313 Ice Cream, Frozen Novelties & Sherbet",,,,2:02,,,,https://kemps.com/,
245,holanda,"F313 Ice Cream, Frozen Novelties & Sherbet",,,,0:02,,,,https://www.heladosholanda.com.mx/home.html,
246,lactaid,"F313 Ice Cream, Frozen Novelties & Sherbet",,,,1:01,,,,https://www.lactaid.com/,
247,hudsonville,"F313 Ice Cream, Frozen Novelties & Sherbet",,,,1:01,,,,https://www.hudsonvilleicecream.com/,
248,coolhaus,"F313 Ice Cream, Frozen Novelties & Sherbet",,,,0:02,,,,https://cool.haus/,
249,abbotts,"F313 Ice Cream, Frozen Novelties & Sherbet",,,,6:05,,,,https://www.abbottscustard.com/,
250,loacker,F343 Cookies & Crackers,,,,4:05,,,,https://www.loackerusa.com/en/,
251,biscoff,F343 Cookies & Crackers,,,,2:01,,,,https://www.lotusbiscoff.com/en-us,
253,mcdonalds,F411 Coffee,,,,2:02,,,,https://www.mcdonalds.com/us/en-us.html,
254,nespresso,F411 Coffee,,,,2:01,,,,https://www.nespresso.com/us/,
255,nescafe,F411 Coffee,,,,2:00,,,,https://www.nescafe.com/,
256,tostitos,"F539 Chips, Nuts, Popcorn & Pretzels General Promotion",,,,3:03,,,,https://www.tostitos.com/,
257,shearers,"F539 Chips, Nuts, Popcorn & Pretzels General Promotion",,,,1:00,,,,https://www.shearers.com/,
258,pringles,"F539 Chips, Nuts, Popcorn & Pretzels General Promotion",,,,8:05,,,,https://www.popcorners.com/,
259,landshark,F611 Regular Beer & Ale,,,,2:01,,,,https://www.landsharklager.com/,
260,miller,F611 Regular Beer & Ale,,,,3:01,,,,https://www.millerlite.com/,
261,heineken,F611 Regular Beer & Ale,,,,2:02,,,,https://www.heineken.com/us,
262,steinlager,F611 Regular Beer & Ale,,,,3:00,,,,https://steinlager.com/,
263,carlsberg,F611 Regular Beer & Ale,,,,3:01,,,,https://www.carlsberg.com/en/,
264,amstel,F611 Regular Beer & Ale,,,,3:00,,,,https://www.amstel.com/,
265,rogue,F611 Regular Beer & Ale,,,,4:01,,,,https://www.rogue.com/,
266,tecate,F611 Regular Beer & Ale,,,,3:01,,,,https://tecatebeerusa.com/,
267,labatt,F611 Regular Beer & Ale,,,,2:02,,,,http://www.labatt.com/,
268,sol,F611 Regular Beer & Ale,,,,6:05,,,,https://www.sol.com/ca/en/homepage,
269,busch,F611 Regular Beer & Ale,,,,2:00,,,,https://www.busch.com/,
270,sapporo,F611 Regular Beer & Ale,,,,1:00,,,,https://sapporobeer.com/,
271,brooklyn,F611 Regular Beer & Ale,,,,5:00,,,,https://brooklynbrewery.com/,
272,altstadt,F611 Regular Beer & Ale,,,,3:03,,,,https://www.altstadtbeer.com/,
273,chang,F611 Regular Beer & Ale,,,,13:00,,,,https://www.changbeer.com/?lang=en,
274,sunup,F611 Regular Beer & Ale,,,,1:01,,,,https://sunup.beer/,
275,widmer,F611 Regular Beer & Ale,,,,5:02,,,,https://www.widmerbrothers.com/,
276,pabst,F611 Regular Beer & Ale,,,,1:03,,,,https://pabstblueribbon.com/,
277,hoboken,F611 Regular Beer & Ale,,,,1:01,,,,https://hobokenbrewing.beer/,
279,bruz,F611 Regular Beer & Ale,,,,2:00,,,,https://www.bruzbeers.com/,
280,teledyne,G141 Cameras (Excl Video),,,,0:01,,,,http://www.teledyne.com/,
281,flir,G141 Cameras (Excl Video),,,,2:01,,,,https://www.flir.ca/,
282,ricoh,G141 Cameras (Excl Video),,,,5:02,,,,https://www.ricoh-usa.com/,
283,fujifilm,G141 Cameras (Excl Video),,,,1:00,,,,https://www.fujifilm.ca/index.html,
284,nikon,G141 Cameras (Excl Video),,,,2:07,,,,https://www.nikon.com/,
285,sealife,G141 Cameras (Excl Video),,,,3:02,,,,https://www.sealife-cameras.com/,
286,polaroid,G141 Cameras (Excl Video),,,,1:01,,,,https://us.polaroid.com/,
288,olympus,G141 Cameras (Excl Video),,,,4:03,,,,https://www.getolympus.com/,
289,perkins,G323 Casual Dining Restaurants,,,,1:01,,,,https://www.perkinsrestaurants.com/,
290,bonefish,G323 Casual Dining Restaurants,,,,1:01,,,,https://www.bonefishgrill.com/,
291,fuddruckers,G323 Casual Dining Restaurants,,,,1:01,,,,https://www.fuddruckers.com/#,
292,benihana,G323 Casual Dining Restaurants,,,,5:03,,,,https://www.benihana.com/,
293,salata,G323 Casual Dining Restaurants,,,,1:01,,,,https://www.salata.com/,
294,pappas,G323 Casual Dining Restaurants,,,,0:01,,,,https://www.pappas.com/home/,
295,tucanos,G323 Casual Dining Restaurants,,,,0:01,,,,https://www.tucanos.com/,
296,hakkasan,G323 Casual Dining Restaurants,,,,3:07,,,,https://hakkasan.com/,
297,dennys,G323 Casual Dining Restaurants,,,,6:06,,,,https://www.dennys.com/,
298,sizzler,G323 Casual Dining Restaurants,,,,2:04,,,,https://www.sizzler.com/,
299,hooters,G323 Casual Dining Restaurants,,,,0:04,,,,https://www.hooters.com/,
300,abuelos,G323 Casual Dining Restaurants,,,,2:01,,,,https://www.abuelos.com/,
303,sharis,G323 Casual Dining Restaurants,,,,2:01,,,,https://www.sharis.com/,
305,caribou,G324 Coffee & Donut Restaurants,,,,5:00,,,,https://www.cariboucoffee.com/,
306,johnson,G411 Fishing Tackle & Equipment,,,,1:00,,,,https://www.johnsonfishing.com/,
307,daiwa,G411 Fishing Tackle & Equipment,,,,2:00,,,,https://www.daiwa.com/us/,
308,mustad,G411 Fishing Tackle & Equipment,,,,6:01,,,,https://mustad-fishing.com/,
310,acme,G411 Fishing Tackle & Equipment,,,,7:01,,,,https://www.acmetackle.com/,
311,rio,G411 Fishing Tackle & Equipment,,,,2:01,,,,https://www.rioproducts.com/,
312,ardent,G411 Fishing Tackle & Equipment,,,,8:00,,,,https://ardentoutdoors.com/,
313,shakespeare,G411 Fishing Tackle & Equipment,,,,1:00,,,,https://www.shakespeare-fishing.com/,
314,cabelas,G411 Fishing Tackle & Equipment,,,,4:03,,,,https://www.cabelas.ca/,
315,northland,G411 Fishing Tackle & Equipment,,,,8:00,,,,https://www.northlandtackle.com/,
316,penn,G411 Fishing Tackle & Equipment,,,,3:00,,,,https://www.pennfishing.com/,
317,cortland,G411 Fishing Tackle & Equipment,,,,8:00,,,,https://www.cortlandline.com/,
318,mystic,G411 Fishing Tackle & Equipment,,,,1:01,,,,https://www.mysticoutdoors.com/,
319,gerber,G411 Fishing Tackle & Equipment,,,,4:00,,,,https://www.gerbergear.com/en-us,
320,berkley,G411 Fishing Tackle & Equipment,,,,2:00,,,,https://www.berkley-fishing.com/,
321,rainshadow,G411 Fishing Tackle & Equipment,,,,5:01,,,,https://www.rainshadowrodblanks.com/,
322,smith,"G451 Snow Skis, Boards, Blades & Accessories",,,,3:02,,,,https://www.smithoptics.com/us/,
323,burton,"G451 Snow Skis, Boards, Blades & Accessories",,,,4:05,,,,https://www.burton.com/us/en/home,
325,poc,"G451 Snow Skis, Boards, Blades & Accessories",,,,2:00,,,,https://www.pocsports.com/us/home/,
326,nordica,"G451 Snow Skis, Boards, Blades & Accessories",,,,2:02,,,,https://www.nordica.com/usa/,
327,glade,"G451 Snow Skis, Boards, Blades & Accessories",,,,0:02,,,,https://www.shopglade.com/,
328,coleman,G499 Sporting Goods General Promotion,,,,4:04,,,,https://www.coleman.com/,
329,rawlings,G499 Sporting Goods General Promotion,,,,2:00,,,,https://www.rawlings.com/,
330,newell,G499 Sporting Goods General Promotion,,,,1:01,,,,https://www.newellbrands.com/,
331,obrien,G499 Sporting Goods General Promotion,,,,4:08,,,,https://obrien.com/,
336,giro,G499 Sporting Goods General Promotion,,,,10:03,,,,https://www.giro.com/,
337,polaris,G499 Sporting Goods General Promotion,,,,4:03,,,,https://www.polaris.com/en-us/,
338,macpac,G499 Sporting Goods General Promotion,,,,2:05,,,,https://www.macpac.co.nz/,
340,simmons,G499 Sporting Goods General Promotion,,,,4:00,,,,https://www.simmonssportinggoods.com/,
341,marmot,G499 Sporting Goods General Promotion,,,,9:07,,,,https://www.marmot.com/,
342,mammut,G499 Sporting Goods General Promotion,,,,4:03,,,,https://www.mammut.com/us/en/,
344,rei,G499 Sporting Goods General Promotion,,,,1:02,,,,https://www.rei.com/,
351,bushnell,G499 Sporting Goods General Promotion,,,,3:02,,,,https://www.bushnell.com/,
355,corsair,G511 Elec & Video Games & Sftwr (Excl PC&Net),,,,8:03,,,,https://www.corsair.com/us/en/gaming,
356,xbox,G511 Elec & Video Games & Sftwr (Excl PC&Net),,,,2:01,,,,https://www.xbox.com/en-CA/,
357,microsoft,G511 Elec & Video Games & Sftwr (Excl PC&Net),,,,9:08,,,,https://www.microsoft.com/en-us,
377,baccarat,"H111 Dinnerware, Glassware & Pottery",,,,1:00,,,,https://www.baccarat.com/,
384,riedel,"H111 Dinnerware, Glassware & Pottery",,,,7:03,,,,https://www.riedel.com/en-us,
389,libbey,"H111 Dinnerware, Glassware & Pottery",,,,9:08,,,,https://libbey.com/,
407,tulo,H122 Mattresses & Box Springs,,,,1:02,,,,https://www.tulo.com/,
408,dreamland,H122 Mattresses & Box Springs,,,,2:00,,,,https://www.dreamlandsleepshop.com/,
409,revived,H122 Mattresses & Box Springs,,,,0:01,,,,https://revived365.com/,
410,casper,H122 Mattresses & Box Springs,,,,1:01,,,,https://casper.com/home-v3/?rvcs=1,
412,eight,H122 Mattresses & Box Springs,,,,3:01,,,,https://www.eightsleep.com/,
413,englander,H122 Mattresses & Box Springs,,,,1:03,,,,https://www.englander.com/,
415,agility,H122 Mattresses & Box Springs,,,,0:02,,,,https://agilitybed.com/,
416,america,H122 Mattresses & Box Springs,,,,2:03,,,,https://www.americasmattress.com/national,
419,lull,H122 Mattresses & Box Springs,,,,2:01,,,,https://lull.com/,
420,sealy,H122 Mattresses & Box Springs,,,,1:02,,,,https://www.sealy.com/,
423,talley,H122 Mattresses & Box Springs,,,,3:00,,,,https://www.talleygroup.com/,
429,bassett,H122 Mattresses & Box Springs,,,,1:02,,,,https://www.bassettfurniture.com/,
432,serta,H122 Mattresses & Box Springs,,,,1:01,,,,https://www.serta.com/,
434,essentia,H122 Mattresses & Box Springs,,,,4:02,,,,https://myessentia.ca/#,
435,lucid,H122 Mattresses & Box Springs,,,,3:03,,,,https://lucidmattress.com/,
436,ortho,H122 Mattresses & Box Springs,,,,3:01,,,,https://www.orthomattress.com/,
439,hyphen,H122 Mattresses & Box Springs,,,,0:01,,,,https://hyphensleep.com/,
440,luxi,H122 Mattresses & Box Springs,,,,1:05,,,,https://luxiagi.com/,
442,leesa,H122 Mattresses & Box Springs,,,,4:03,,,,https://www.leesa.com/,
443,liddell,H142 Bedding & Linens,,,,0:01,,,,http://www.liddell-international.com/,
461,welspun,H142 Bedding & Linens,,,,8:06,,,,https://www.welspun.com/,
469,revman,H142 Bedding & Linens,,,,2:01,,,,http://webster.revman.com/about.htm,
476,buffy,H142 Bedding & Linens,,,,6:16,,,,https://buffy.co/,
477,steele,H213 Laundry Equipment,,,,2:00,,,,https://www.steelecanvas.com/,
478,lg,H213 Laundry Equipment,,,,1:06,,,,https://www.lg.com/us,
479,samsung,H213 Laundry Equipment,,,,9:06,,,,https://www.samsung.com/us/,
480,ge,H213 Laundry Equipment,,,,4:04,,,,https://www.geappliances.com/,
482,maytag,H213 Laundry Equipment,,,,3:01,,,,https://www.maytag.com/,
483,kenmore,H213 Laundry Equipment,,,,1:04,,,,https://www.kenmore.com/,
489,acdelco,H310 Household Batteries,,,,2:02,,,,https://www.acdelco.com/,
492,saft,H310 Household Batteries,,,,1:01,,,,https://www.saftbatteries.com/,
495,interstate,H310 Household Batteries,,,,4:04,,,,https://www.interstatebatteries.com/,
496,apc,H310 Household Batteries,,,,7:04,,,,https://www.apc.com/us/en/,
498,hefty,H339 Household Paper Products: Comb & NEC,,,,1:00,,,,https://www.hefty.com/,
501,bounty,H339 Household Paper Products: Comb & NEC,,,,0:02,,,,https://bountytowels.com/en-us,
506,kleenex,H339 Household Paper Products: Comb & NEC,,,,1:04,,,,https://www.kleenex.com/en-us/,
509,palmolive,H413 Dishwashing Detergents,,,,1:00,,,,https://www.palmolive.com/en-us,
512,clr,H432 Multipurpose Cleaners (Cleansers),,,,1:03,,,,https://clrbrands.com/,
513,sos,H432 Multipurpose Cleaners (Cleansers),,,,0:02,,,,https://www.sosclorox.com/,
514,liftmaster,H625 Security & Fire Safety Systems,,,,1:00,,,,https://www.liftmaster.com/?clear=true,
516,bosch,H625 Security & Fire Safety Systems,,,,4:04,,,,https://www.boschsecurity.com/us/en/,
521,hid,H625 Security & Fire Safety Systems,,,,3:02,,,,https://www.hidglobal.com/,
522,pilz,H625 Security & Fire Safety Systems,,,,9:02,,,,https://www.pilz.com/en-US,
526,mcdermott,H625 Security & Fire Safety Systems,,,,3:00,,,,https://www.mcdermott.com/,
527,bullard,H625 Security & Fire Safety Systems,,,,11:02,,,,https://www.bullard.com/,
532,swann,H625 Security & Fire Safety Systems,,,,3:02,,,,https://www.swann.com/us/,
534,consilium,H625 Security & Fire Safety Systems,,,,5:01,,,,https://www.consiliumsafety.com/en/,
538,vicon,H625 Security & Fire Safety Systems,,,,3:00,,,,https://www.vicon-security.com/,
542,honeywell,H625 Security & Fire Safety Systems,,,,1:01,,,,https://www.honeywell.com/,
549,adt,H625 Security & Fire Safety Systems,,,,2:00,,,,https://www.adt.com/,
552,msa,H625 Security & Fire Safety Systems,,,,13:02,,,,https://us.msasafety.com/?locale=en&default=1&regionIso=US,
553,rockwool,H625 Security & Fire Safety Systems,,,,5:05,,,,https://www.rockwool.com/,
554,hanwha,H625 Security & Fire Safety Systems,,,,1:04,,,,https://www.hanwhasecurity.com/,
556,kidde,H625 Security & Fire Safety Systems,,,,3:02,,,,https://www.kidde.com/home-safety/en/us/,
558,vivint,H625 Security & Fire Safety Systems,,,,1:01,,,,https://www.vivint.com/,
560,rki,H625 Security & Fire Safety Systems,,,,3:00,,,,https://www.rkiinstruments.com/,
561,schlage,H625 Security & Fire Safety Systems,,,,0:01,,,,https://www.schlage.com/en/home.html,
569,aperio,H625 Security & Fire Safety Systems,,,,2:00,,,,https://www.aperio-systems.com/,
571,lutron,H625 Security & Fire Safety Systems,,,,0:01,,,,http://www.lutron.com/en-US/pages/default.aspx,
573,dahua,H625 Security & Fire Safety Systems,,,,3:02,,,,https://www.dahuasecurity.com/,
574,qmi,H625 Security & Fire Safety Systems,,,,3:02,,,,https://qmiusa.com/,
576,kwikset,H625 Security & Fire Safety Systems,,,,10:07,,,,https://www.kwikset.com/,
581,drager,H625 Security & Fire Safety Systems,,,,12:04,,,,https://www.draeger.com/en-us_us/Home,
590,daymark,H625 Security & Fire Safety Systems,,,,1:02,,,,https://www.daymarksafety.com/,
593,comex,H631 Paint,,,,6:07,,,,https://www.comex.com.mx/,
595,dap,H631 Paint,,,,4:01,,,,https://www.dap.com/,
598,valspar,H631 Paint,,,,2:00,,,,https://www.valspar.com/,
600,behr,H631 Paint,,,,3:06,,,,https://www.behr.ca/consumer,
601,glidden,H631 Paint,,,,4:03,,,,https://www.glidden.com/,
602,jayco,"T139 Vehicles, Sales & Leasing: Comb Copy&NEC",,,,1:01,,,,https://www.jayco.com/,
604,dutchmen,"T139 Vehicles, Sales & Leasing: Comb Copy&NEC",,,,6:03,,,,https://www.dutchmen.com/,
611,tiffin,"T139 Vehicles, Sales & Leasing: Comb Copy&NEC",,,,3:02,,,,https://tiffinmotorhomes.com/,
612,winnebago,"T139 Vehicles, Sales & Leasing: Comb Copy&NEC",,,,3:02,,,,https://winnebagoind.com/,
613,newmar,"T139 Vehicles, Sales & Leasing: Comb Copy&NEC",,,,6:04,,,,https://www.newmarcorp.com/,
621,flagship,T412 Cruise Ship Travel,,,,11:09,,,,https://www.flagshipsd.com/,
622,atlantis,T412 Cruise Ship Travel,,,,14:00,,,,https://atlantisevents.com/,
625,argosy,T412 Cruise Ship Travel,,,,2:02,,,,https://www.argosycruises.com/,
629,windstar,T412 Cruise Ship Travel,,,,3:02,,,,https://www.windstarcruises.com/,
630,oceania,T412 Cruise Ship Travel,,,,6:04,,,,https://www.oceaniacruises.com/,
634,cunard,T412 Cruise Ship Travel,,,,0:02,,,,https://www.cunard.com/en-us,
636,electra,T412 Cruise Ship Travel,,,,11:09,,,,http://www.electracruises.com/,
638,vistajet,T421 Travel Services,,,,0:01,,,,https://www.vistajet.com/en/,
639,alitalia,T421 Travel Services,,,,1:02,,,,https://www.alitalia.com/en_en/homepage.html,
645,priv,V131 Beauty Shops,,,,4:10,,,,https://gopriv.com/,
